time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,LinearTBNegotiator@1
0.034755709,0.5882352941176471,29,LinearTBNegotiator@1,"(1, 7, 5, 'basic')",{},continuing,,,0.29441716675759233,0.4124305072672864
0.035666334,0.6078431372549019,30,BoulwareTBNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.8657937806873975,0.17741935483870966
0.035666334,0.6078431372549019,30,LinearTBNegotiator@1,"(3, 7, 9, 'premium')",{},continuing,,,0.4402618657937807,0.3927172456185409
0.036581209,0.6274509803921569,31,BoulwareTBNegotiator@0,"(9, 2, 7, 'basic')",{},continuing,,,0.8523367885070012,0.07347670250896056
0.036581209,0.6274509803921569,31,LinearTBNegotiator@1,"(3, 8, 5, 'basic')",{},continuing,,,0.31114748136024734,0.37353993799058055
0.037486542,0.6470588235294118,32,BoulwareTBNegotiator@0,"(9, 3, 7, 'basic')",{},continuing,,,0.8326968539734497,0.09351929423669096
0.037486542,0.6470588235294118,32,LinearTBNegotiator@1,"(3, 6, 5, 'basic')",{},continuing,,,0.35042735042735046,0.35371655088260634
0.038436459,0.6666666666666666,33,BoulwareTBNegotiator@0,"(9, 1, 7, 'standard')",{},continuing,,,0.8065102745953809,0.10573476702508959
0.038436459,0.6666666666666666,33,LinearTBNegotiator@1,"(5, 9, 5, 'basic')",{},continuing,,,0.36424804509910896,0.33399199349130304
0.039444084,0.6862745098039216,34,BoulwareTBNegotiator@0,"(8, 8, 9, 'basic')",{},continuing,,,0.7852336788507001,0.15221377311602857
0.039444084,0.6862745098039216,34,LinearTBNegotiator@1,"(0, 5, 9, 'basic')",{},continuing,,,0.5531914893617021,0.314516129032258
0.040407709,0.7058823529411765,35,BoulwareTBNegotiator@0,"(6, 3, 9, 'basic')",{},continuing,,,0.7561374795417348,0.14101033366321425
0.040407709,0.7058823529411765,35,LinearTBNegotiator@1,"(4, 3, 7, 'standard')",{},continuing,,,0.4717221312965994,0.29513219746249736
0.041419459,0.7254901960784313,36,BoulwareTBNegotiator@0,"(6, 1, 8, 'basic')",{},continuing,,,0.7274049827241317,0.07885304659498209
0.041419459,0.7254901960784313,36,LinearTBNegotiator@1,"(9, 7, 4, 'basic')",{},continuing,,,0.6221131114748135,0.275333733073738
0.042385084,0.7450980392156863,37,BoulwareTBNegotiator@0,"(6, 6, 9, 'basic')",{},continuing,,,0.6972176759410802,0.1807774827822479
0.042385084,0.7450980392156863,37,LinearTBNegotiator@1,"(9, 7, 6, 'standard')",{},continuing,,,0.6366612111292962,0.25562047142499245
0.043368459,0.7647058823529411,38,BoulwareTBNegotiator@0,"(8, 5, 6, 'basic')",{},continuing,,,0.6641207492271322,0.1774193548387097
0.044386917,0.7843137254901961,39,LinearTBNegotiator@1,"(6, 4, 9, 'standard')",{'LinearTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.6710310965630115,0.23703471649526825
