time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,BoulwareTBNegotiator@1
0.019070917,0.3333333333333333,16,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019501083,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(0, 10, 2, 'standard')",{},continuing,,,0.9844627768010787,0.152046783625731
0.019501083,0.35294117647058826,17,BoulwareTBNegotiator@1,"(9, 1, 9, 'basic')",{},continuing,,,0.09356725146198831,1.0
0.019934625,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.019934625,0.37254901960784315,18,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.020386292,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(1, 10, 0, 'standard')",{},continuing,,,0.9824561403508771,0.12313190383365824
0.020386292,0.39215686274509803,19,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.020854375,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(1, 10, 1, 'standard')",{},continuing,,,0.9749310142432539,0.14067576348278105
0.020854375,0.4117647058823529,20,BoulwareTBNegotiator@1,"(9, 1, 8, 'basic')",{},continuing,,,0.13742690058479534,0.9824561403508771
0.021336625,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(1, 10, 2, 'standard')",{},continuing,,,0.9669189171519559,0.15821962313190385
0.021336625,0.43137254901960786,21,BoulwareTBNegotiator@1,"(9, 2, 9, 'basic')",{},continuing,,,0.09974009096816115,0.9723846653671215
0.02177,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(2, 10, 0, 'standard')",{},continuing,,,0.9649122807017545,0.14165042235217676
0.02177,0.45098039215686275,22,BoulwareTBNegotiator@1,"(9, 1, 7, 'basic')",{},continuing,,,0.15559416209238722,0.9649122807017545
0.0222315,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(0, 10, 5, 'standard')",{},continuing,,,0.9561403508771931,0.20467836257309946
0.0222315,0.47058823529411764,23,BoulwareTBNegotiator@1,"(9, 2, 8, 'basic')",{},continuing,,,0.14359974009096818,0.9548408057179987
0.02267025,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(3, 10, 0, 'standard')",{},continuing,,,0.9473684210526316,0.17251461988304095
0.02267025,0.49019607843137253,24,BoulwareTBNegotiator@1,"(9, 1, 6, 'basic')",{},continuing,,,0.16953439214483385,0.9473684210526316
0.023102792,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(1, 10, 5, 'standard')",{},continuing,,,0.9385964912280702,0.2108512020792723
0.023102792,0.5098039215686274,25,BoulwareTBNegotiator@1,"(9, 2, 7, 'basic')",{},continuing,,,0.16176700159856006,0.937296946068876
0.023531375,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(1, 10, 6, 'standard')",{},continuing,,,0.9268443336653016,0.22839506172839508
0.023531375,0.5294117647058824,26,BoulwareTBNegotiator@1,"(9, 4, 9, 'basic')",{},continuing,,,0.14912280701754388,0.9269005847953218
0.023961792,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(2, 10, 5, 'standard')",{},continuing,,,0.9210526315789476,0.22936972059779082
0.023961792,0.5490196078431373,27,BoulwareTBNegotiator@1,"(9, 2, 6, 'basic')",{},continuing,,,0.17570723165100666,0.9197530864197532
0.024391292,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(3, 10, 5, 'standard')",{},continuing,,,0.9035087719298247,0.26023391812865504
0.024391292,0.5686274509803921,28,BoulwareTBNegotiator@1,"(9, 2, 5, 'basic')",{},continuing,,,0.1874593892137752,0.9022092267706303
0.024821375,0.5882352941176471,29,GeniusBOABaselineNegotiator@0,"(3, 10, 6, 'standard')",{},continuing,,,0.8917566143670561,0.2777777777777778
0.024821375,0.5882352941176471,29,BoulwareTBNegotiator@1,"(9, 1, 8, 'standard')",{},continuing,,,0.25438596491228077,0.8888888888888888
0.025253875,0.6078431372549019,30,GeniusBOABaselineNegotiator@0,"(0, 10, 1, 'basic')",{},continuing,,,0.8755158095648914,0.22807017543859653
0.025253875,0.6078431372549019,30,BoulwareTBNegotiator@1,"(9, 9, 9, 'basic')",{},continuing,,,0.48862897985705,0.8700454840805718
0.025688458,0.6274509803921569,31,GeniusBOABaselineNegotiator@0,"(1, 10, 1, 'basic')",{},continuing,,,0.8579719499157685,0.23424301494476937
0.025688458,0.6274509803921569,31,BoulwareTBNegotiator@1,"(9, 9, 8, 'basic')",{},continuing,,,0.532488628979857,0.852501624431449
0.026119125,0.6470588235294118,32,GeniusBOABaselineNegotiator@0,"(2, 10, 6, 'premium')",{},continuing,,,0.8391250354196876,0.17673814165042234
0.026119125,0.6470588235294118,32,BoulwareTBNegotiator@1,"(9, 4, 9, 'standard')",{},continuing,,,0.2660818713450293,0.8333333333333334
0.026570667,0.6666666666666666,33,GeniusBOABaselineNegotiator@0,"(3, 10, 6, 'premium')",{},continuing,,,0.8215811757705648,0.20760233918128657
0.026570667,0.6666666666666666,33,BoulwareTBNegotiator@1,"(9, 7, 5, 'basic')",{},continuing,,,0.4035087719298246,0.8128654970760234
0.0270045,0.6862745098039216,34,GeniusBOABaselineNegotiator@0,"(4, 10, 2, 'basic')",{},continuing,,,0.797328273877102,0.34437946718648477
0.0270045,0.6862745098039216,34,BoulwareTBNegotiator@1,"(9, 6, 3, 'basic')",{},continuing,,,0.35532199976469436,0.7891487979207279
0.02745775,0.7058823529411765,35,GeniusBOABaselineNegotiator@0,"(7, 10, 4, 'premium')",{},continuing,,,0.7735117533991136,0.4194282001299545
0.02745775,0.7058823529411765,35,BoulwareTBNegotiator@1,"(8, 10, 9, 'basic')",{},continuing,,,0.6111111111111112,0.7634827810266407
0.027898708,0.7254901960784313,36,GeniusBOABaselineNegotiator@0,"(8, 9, 1, 'standard')",{},continuing,,,0.747185725094456,0.5311890838206628
0.027898708,0.7254901960784313,36,BoulwareTBNegotiator@1,"(9, 6, 0, 'basic')",{},continuing,,,0.3794671864847304,0.7365172189733593
0.0283465,0.7450980392156863,37,GeniusBOABaselineNegotiator@0,"(2, 9, 3, 'basic')",{},continuing,,,0.7188697580492948,0.2894736842105263
0.028847875,0.7647058823529411,38,BoulwareTBNegotiator@1,"(9, 9, 5, 'standard')",{'BoulwareTBNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.6933073424301495,0.7063027940220923
