time,relative_time,step,negotiator,offer,responses,state,text,data,GeniusBOABaselineNegotiator@0,GeniusBOABaselineNegotiator@1
0.012175541,0.3333333333333333,16,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.012318666,0.35294117647058826,17,GeniusBOABaselineNegotiator@0,"(8, 1, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026467
0.012318666,0.35294117647058826,17,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.012464083,0.37254901960784315,18,GeniusBOABaselineNegotiator@0,"(8, 1, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026467
0.012464083,0.37254901960784315,18,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.0126095,0.39215686274509803,19,GeniusBOABaselineNegotiator@0,"(8, 1, 9, 'basic')",{},continuing,,,0.9841269841269841,0.026455026455026467
0.0126095,0.39215686274509803,19,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.023809523809523808,1.0
0.012754041,0.4117647058823529,20,GeniusBOABaselineNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9714045207910317,0.031746031746031765
0.012754041,0.4117647058823529,20,GeniusBOABaselineNegotiator@1,"(1, 10, 0, 'premium')",{},continuing,,,0.03968253968253968,0.9735449735449735
0.012899,0.43137254901960786,21,GeniusBOABaselineNegotiator@0,"(8, 2, 9, 'basic')",{},continuing,,,0.9682539682539683,0.05291005291005292
0.012899,0.43137254901960786,21,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.013042958,0.45098039215686275,22,GeniusBOABaselineNegotiator@0,"(8, 2, 9, 'basic')",{},continuing,,,0.9682539682539683,0.05291005291005292
0.013042958,0.45098039215686275,22,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.013186041,0.47058823529411764,23,GeniusBOABaselineNegotiator@0,"(7, 2, 9, 'basic')",{},continuing,,,0.9523809523809524,0.07936507936507937
0.013186041,0.47058823529411764,23,GeniusBOABaselineNegotiator@1,"(0, 10, 1, 'premium')",{},continuing,,,0.19047619047619047,0.9682539682539681
0.013329083,0.49019607843137253,24,GeniusBOABaselineNegotiator@0,"(7, 2, 9, 'basic')",{},continuing,,,0.9523809523809524,0.07936507936507937
0.013329083,0.49019607843137253,24,GeniusBOABaselineNegotiator@1,"(1, 10, 1, 'premium')",{},continuing,,,0.20634920634920634,0.9417989417989419
0.01347275,0.5098039215686274,25,GeniusBOABaselineNegotiator@0,"(6, 2, 9, 'basic')",{},continuing,,,0.9365079365079365,0.10582010582010584
0.01347275,0.5098039215686274,25,GeniusBOABaselineNegotiator@1,"(0, 10, 2, 'premium')",{},continuing,,,0.2595117842050396,0.9365079365079365
0.01361675,0.5294117647058824,26,GeniusBOABaselineNegotiator@0,"(7, 2, 8, 'basic')",{},continuing,,,0.923785473171984,0.11111111111111113
0.01361675,0.5294117647058824,26,GeniusBOABaselineNegotiator@1,"(0, 10, 0, 'standard')",{},continuing,,,0.09523809523809523,0.9206349206349206
0.01376125,0.5490196078431373,27,GeniusBOABaselineNegotiator@0,"(5, 2, 9, 'basic')",{},continuing,,,0.9206349206349206,0.1322751322751323
0.01376125,0.5490196078431373,27,GeniusBOABaselineNegotiator@1,"(1, 10, 2, 'premium')",{},continuing,,,0.27538480007805555,0.91005291005291
0.013905166,0.5686274509803921,28,GeniusBOABaselineNegotiator@0,"(3, 1, 9, 'basic')",{},continuing,,,0.9047619047619048,0.15873015873015878
0.013905166,0.5686274509803921,28,GeniusBOABaselineNegotiator@1,"(0, 9, 0, 'standard')",{},continuing,,,0.1111111111111111,0.8941798941798942
0.014049,0.5882352941176471,29,GeniusBOABaselineNegotiator@0,"(9, 8, 9, 'basic')",{},continuing,,,0.888888888888889,0.18518518518518517
0.014049,0.5882352941176471,29,GeniusBOABaselineNegotiator@1,"(2, 10, 2, 'premium')",{},continuing,,,0.29125781595107136,0.8835978835978835
0.014191583,0.6078431372549019,30,GeniusBOABaselineNegotiator@0,"(8, 1, 9, 'standard')",{},continuing,,,0.865079365079365,0.18518518518518523
0.014191583,0.6078431372549019,30,GeniusBOABaselineNegotiator@1,"(4, 10, 1, 'premium')",{},continuing,,,0.25396825396825395,0.8624338624338623
0.014363541,0.6274509803921569,31,GeniusBOABaselineNegotiator@0,"(8, 2, 9, 'standard')",{},continuing,,,0.8492063492063492,0.21164021164021168
0.014363541,0.6274509803921569,31,GeniusBOABaselineNegotiator@1,"(0, 9, 4, 'premium')",{},continuing,,,0.373015873015873,0.8465608465608465
0.014508958,0.6470588235294118,32,GeniusBOABaselineNegotiator@0,"(7, 8, 8, 'basic')",{},continuing,,,0.8285473779338888,0.2698412698412698
0.014508958,0.6470588235294118,32,GeniusBOABaselineNegotiator@1,"(0, 10, 3, 'standard')",{},continuing,,,0.3839132298329081,0.8253968253968255
0.014651916,0.6666666666666666,33,GeniusBOABaselineNegotiator@0,"(9, 2, 7, 'standard')",{},continuing,,,0.8060379169234635,0.2486772486772487
0.014651916,0.6666666666666666,33,GeniusBOABaselineNegotiator@1,"(5, 10, 2, 'premium')",{},continuing,,,0.33887686357011904,0.8042328042328042
0.014795833,0.6862745098039216,34,GeniusBOABaselineNegotiator@0,"(8, 10, 7, 'basic')",{},continuing,,,0.7822283931139397,0.328042328042328
0.014795833,0.6862745098039216,34,GeniusBOABaselineNegotiator@1,"(0, 10, 7, 'premium')",{},continuing,,,0.4647680756536222,0.7777777777777777
0.014938958,0.7058823529411765,35,GeniusBOABaselineNegotiator@0,"(8, 2, 3, 'basic')",{},continuing,,,0.7569291028487811,0.24338624338624343
0.014938958,0.7058823529411765,35,GeniusBOABaselineNegotiator@1,"(4, 10, 2, 'standard')",{},continuing,,,0.3944324191256745,0.7513227513227513
0.015082,0.7254901960784313,36,GeniusBOABaselineNegotiator@0,"(9, 10, 5, 'basic')",{},continuing,,,0.7298208533928221,0.36507936507936506
0.015082,0.7254901960784313,36,GeniusBOABaselineNegotiator@1,"(0, 5, 2, 'standard')",{},continuing,,,0.41030543499869043,0.7248677248677248
0.015224291,0.7450980392156863,37,GeniusBOABaselineNegotiator@0,"(4, 7, 5, 'basic')",{},continuing,,,0.6980748216467904,0.417989417989418
0.015224291,0.7450980392156863,37,GeniusBOABaselineNegotiator@1,"(0, 8, 8, 'premium')",{},continuing,,,0.5269600763465873,0.693121693121693
0.015366833,0.7647058823529411,38,GeniusBOABaselineNegotiator@0,"(3, 8, 5, 'basic')",{},continuing,,,0.6663287899007586,0.47089947089947093
0.015366833,0.7647058823529411,38,GeniusBOABaselineNegotiator@1,"(5, 10, 4, 'standard')",{},continuing,,,0.5079365079365079,0.6613756613756613
0.015510083,0.7843137254901961,39,GeniusBOABaselineNegotiator@0,"(8, 10, 3, 'basic')",{},continuing,,,0.6299449758646541,0.45502645502645506
0.015510083,0.7843137254901961,39,GeniusBOABaselineNegotiator@1,"(2, 8, 1, 'basic')",{},continuing,,,0.4444444444444444,0.6243386243386243
0.015652541,0.803921568627451,40,GeniusBOABaselineNegotiator@0,"(6, 3, 3, 'standard')",{},continuing,,,0.5902624361821145,0.4814814814814815
0.015793416,0.8235294117647058,41,GeniusBOABaselineNegotiator@1,"(0, 5, 9, 'premium')",{'GeniusBOABaselineNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.6031746031746031,0.582010582010582
